fecha_defun,Covid,Covid_o_neumonia,DGE
4/1/2020,3,10,5
4/2/2020,4,7,5
4/3/2020,2,9,7
4/4/2020,9,11,4
4/5/2020,13,15,4
4/6/2020,15,20,16
4/7/2020,10,16,10
4/8/2020,10,12,6
4/9/2020,21,27,17
4/10/2020,36,40,22
4/11/2020,29,35,21
4/12/2020,21,26,9
4/13/2020,34,42,14
4/14/2020,47,53,23
4/15/2020,43,50,21
4/16/2020,45,54,23
4/17/2020,40,52,16
4/18/2020,51,62,22
4/19/2020,71,86,28
4/20/2020,65,82,24
4/21/2020,98,109,35
4/22/2020,82,95,24
4/23/2020,99,113,27
4/24/2020,131,139,38
4/25/2020,129,143,41
4/26/2020,152,166,43
4/27/2020,154,173,40
4/28/2020,170,190,34
4/29/2020,198,217,49
4/30/2020,198,215,62
5/1/2020,192,225,53
5/2/2020,188,219,42
5/3/2020,201,230,55
5/4/2020,215,241,46
5/5/2020,229,263,58
5/6/2020,216,238,58
5/7/2020,203,219,51
5/8/2020,184,208,54
5/9/2020,220,249,45
5/10/2020,178,208,57
5/11/2020,197,228,57
5/12/2020,190,208,59
5/13/2020,223,240,61
5/14/2020,209,236,64
5/15/2020,210,223,64
5/16/2020,176,198,67
5/17/2020,242,267,62
5/18/2020,268,288,78
5/19/2020,210,229,68
5/20/2020,208,229,53
5/21/2020,253,270,64
5/22/2020,232,243,59
5/23/2020,178,189,64
5/24/2020,202,214,55
5/25/2020,194,208,55
